country,latitude,longitude,charging_points
2,44.47078,-68.365933,1
2,44.470278,-68.367836,1
2,44.4701728,-73.2118272,1
2,44.469024,-103.735114,1
2,44.468076,-88.068605,1
2,44.468016,-73.171055,1
2,44.458947,-93.156512,1
2,44.454504,-73.179556,1
2,44.427796,-73.205773,1
2,44.42719,-84.67905,1
2,44.4237297,-69.0168529,1
2,44.40966,-72.02106,1
2,44.406871,-70.790541,1
2,44.406797,-70.79048,1
2,44.3837939,-68.2054389,1
2,44.336536,-93.298441,1
2,44.33634,-98.21308,1
2,44.33612727840983,-72.75144960661045,1
2,44.33508,-72.74849,1
2,44.33099482080186,-72.75261292574767,1
2,44.316865,-69.818254,1
2,44.310279,-74.11584,1
2,44.302979,-121.170438,1
2,44.29702,-75.975892,1
2,44.296623,-96.770329,1
2,44.295196,-69.785806,1
2,44.292252,-121.544496,1
2,44.29091,-88.47268,1
2,44.28723,-69.99534,1
2,44.2842844,-121.1887992,1
2,44.27939,-83.49013,1
2,44.26053,-83.44144,1
2,44.2600477,-72.5693851,1
2,44.254066,-68.350833,1
2,44.248636,-85.39896,1
2,44.245743,-115.004829,1
2,44.149362,-114.918685,1
2,44.13037,-70.224009,1
2,44.124716,-70.228864,1
2,44.113376,-121.271691,1
2,44.113322,-121.271927,1
2,44.104546,-103.183667,1
2,44.102392,-70.230578,1
2,44.09810578676699,-123.1241077427122,1
2,44.081918,-91.36992,1
2,44.072521,-92.502583,1
2,44.070764,-121.268201,1
2,44.051122,-94.405265,1
2,44.05093,-75.792598,1
2,44.04638908755577,-91.67222773208071,1
2,44.03610949270557,-92.5089152165268,1
2,44.02933,-92.75102,1
2,44.019964,-92.460348,1
2,44.018018,-103.254506,1
2,44.01679,-70.97914,1
2,44.016057,-90.683664,1
2,44.00677710815643,-73.17511011793549,1
2,44.005636,-73.162331,1
2,43.98969517311035,-73.1382758744124,1
2,43.98899416,-88.54281776,1
2,43.9886806,-69.6915928,1
2,43.9745557,-83.9588691,1
2,43.9692584858,-75.6240920285,1
2,43.96912,-74.159696,1
2,43.957513,-74.103422,1
2,43.911749,-69.833314,1
2,43.907743,-69.959697,1
2,43.90581,-69.96062,1
2,43.85889,-91.240679,4
2,43.82199,-72.52297,1
2,43.82139,-72.52207,1
2,43.7844397,-88.7878678,1
2,43.78227,-74.26396,1
2,43.76379020896685,-88.48062076113408,1
2,43.70323,-70.289828,1
2,43.703184,-70.289817,1
2,43.676201,-70.367913,1
2,43.675419,-70.324891,1
2,43.6742443,-87.7589459,1
2,43.65709,-70.28694,1
2,43.65583,-93.33343,1
2,43.651821,-70.256336,1
2,43.651044,-70.256431,1
2,43.635818,-72.287175,1
2,43.61860361366981,-116.3918754165911,1
2,43.61335444332275,-116.2016304609393,1
2,43.611029,-111.109103,1
2,43.611012,-111.109101,1
2,43.600462,-84.185213,1
2,43.596743,-96.7103,1
2,43.59306,-112.6575,1
2,43.56266,-96.747872,1
2,43.55942,-76.121525,4
2,43.545173,-96.778556,1
2,43.5336772,-70.3166925,1
2,43.52903,-89.77738,1
2,43.527332,-89.777115,1
2,43.525013,-112.946679,1
2,43.502168,-114.300934,1
2,43.492244,-70.44931,1
2,43.474601,-114.2664,1
2,43.467667,-85.944306,1
2,43.434817,-88.050787,1
2,43.42671867355178,-88.22712303805288,1
2,43.417474,-86.352829,1
2,43.396151226714,-84.666180488909,2
2,43.329532,-73.68146,1
2,43.32376,-88.25544,2
2,43.321534,-76.416957,1
2,43.32149191970537,-88.32401833380653,1
2,43.3061553,-73.6617778,1
2,43.29068,-72.792792,1
2,43.290091,-72.79225,1
2,43.276405,-110.781561,1
2,43.24667942674407,-70.90021002537645,1
2,43.239241,-76.142242,1
2,43.23369,-73.076775,1
2,43.229866,-123.352132,1
2,43.220616,-70.579095,1
2,43.216803,-77.751107,1
2,43.215847,-77.750511,1
2,43.2146797,-77.640543,1
2,43.213106,-77.461914,1
2,43.21184479960068,-87.99133171953419,1
2,43.20803969018577,-86.26426611846708,1
2,43.20705,-77.604877,1
2,43.204189,-77.673954,1
2,43.19158,-77.50234,1
2,43.187142,-71.500472,1
2,43.18559,-76.24709,1
2,43.185159,-76.246783,1
2,43.18347,-88.09772,1
2,43.18045,-89.435359,1
2,43.179888,-77.687809,1
2,43.176408,-89.235317,1
2,43.176398,-89.263605,1
2,43.176365,-89.263598,1
2,43.176208,-89.235242,1
2,43.161889,-77.740991,1
2,43.159564,-74.203846,1
2,43.15956,-76.328746,1
2,43.159404,-74.20456,1
2,43.152877,-78.698441,1
2,43.152373,-70.953188,1
2,43.1513324,-76.3508676,1
2,43.14824,-78.69621,1
2,43.14576,-93.35793,1
2,43.130457,-89.286407,1
2,43.129526,-89.354748,1
2,43.12605,-77.563993,1
2,43.1260115,-87.9344735,1
2,43.12505091,-75.41521025,1
2,43.119589,-79.058904,1
2,43.113942,-75.589122,1
2,43.11278,-75.27583,1
2,43.107286,-88.465592,1
2,43.104212,-77.7394698,1
2,43.101729,-77.709649,1
2,43.101471,-77.628106,1
2,43.097961,-77.5875,1
2,43.097282,-76.176841,1
2,43.095487,-78.953548,1
2,43.094008,-78.957592,1
