model year,make,model,electric vehicle type,vehicle_count
2021,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),9
2021,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),186
2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),3812
2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),531
2021,TESLA,MODEL X,Battery Electric Vehicle (BEV),192
2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),6843
2021,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),331
2021,TOYOTA,RAV4 PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),925
2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),1271
2021,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),40
2021,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV),5
2021,VOLVO,XC40,Battery Electric Vehicle (BEV),323
2021,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),194
2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),368
2022,AUDI,E-TRON,Battery Electric Vehicle (BEV),287
2022,AUDI,E-TRON GT,Battery Electric Vehicle (BEV),87
2022,AUDI,E-TRON SPORTBACK,Battery Electric Vehicle (BEV),85
2022,AUDI,Q4,Battery Electric Vehicle (BEV),98
2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),165
2022,AUDI,RS E-TRON GT,Battery Electric Vehicle (BEV),28
2022,BENTLEY,FLYING SPUR,Plug-in Hybrid Electric Vehicle (PHEV),2
2022,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),77
2022,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),38
2022,BMW,745LE,Plug-in Hybrid Electric Vehicle (PHEV),3
2022,BMW,I4,Battery Electric Vehicle (BEV),113
2022,BMW,IX,Battery Electric Vehicle (BEV),151
2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),619
2022,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),858
2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),411
2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),419
2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),247
2022,FORD,F-150,Battery Electric Vehicle (BEV),353
2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),1048
2022,FORD,TRANSIT,Battery Electric Vehicle (BEV),148
